,Release Date,Movie,Budget,Domestic Gross,Worldwide Gross,Year,Week,Dom_Profits,WW_Profits,movie_name,genre,%ROI
185,2018-11-02,The Nutcracker and the Four Realms,132900000,54858851,170293899,2018,44,-78041149,37393899,The Nutcracker and the Four Realms,Adventure,-0.5872170729872084
186,2014-11-26,Penguins of Madagascar,132000000,83350911,366942531,2014,48,-48649089,234942531,Penguins of Madagascar,Adventure,-0.36855370454545455
187,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,2013,47,294668047,734868047,The Hunger Games: Catching Fire,Adventure,2.2666772846153846
188,2007-08-03,The Bourne Ultimatum,130000000,227471070,444043396,2007,31,97471070,314043396,The Bourne Ultimatum,Thriller/Suspense,0.7497774615384616
189,2018-07-06,Ant-Man and the Wasp,130000000,216648740,623144660,2018,27,86648740,493144660,Ant-Man and the Wasp,Action,0.6665287692307692
190,2008-06-06,Kung Fu Panda,130000000,215434591,631910531,2008,23,85434591,501910531,Kung Fu Panda,Adventure,0.6571891615384615
191,2015-07-17,Ant-Man,130000000,180202163,518858449,2015,29,50202163,388858449,Ant-Man,Action,0.3861704846153846
192,2015-03-27,Home,130000000,177397510,385997896,2015,13,47397510,255997896,Home,Documentary,0.36459623076923076
193,2015-03-27,Home,130000000,177397510,385997896,2015,13,47397510,255997896,Home,Adventure,0.36459623076923076
194,2018-12-19,Mary Poppins Returns,130000000,171958438,340246439,2018,51,41958438,210246439,Mary Poppins Returns,Musical,0.3227572153846154
195,2011-10-28,Puss in Boots,130000000,149260504,554987477,2011,43,19260504,424987477,Puss in Boots,Adventure,0.14815772307692307
196,2010-11-05,Megamind,130000000,148415853,321887208,2010,44,18415853,191887208,Megamind,Adventure,0.1416604076923077
197,2014-04-11,Rio 2,130000000,131538435,492846291,2014,15,1538435,362846291,Rio 2,Adventure,0.011834115384615384
198,2010-07-23,Salt,130000000,118311368,290650494,2010,29,-11688632,160650494,Salt,Thriller/Suspense,-0.08991255384615385
199,2014-03-28,Noah,130000000,101200044,352831065,2014,13,-28799956,222831065,Noah,Drama,-0.22153812307692308
200,2011-12-21,The Adventures of Tintin,130000000,77591831,373993951,2011,51,-52408169,243993951,The Adventures of Tintin,Adventure,-0.40313976153846154
201,2013-05-31,After Earth,130000000,60522097,251499665,2013,22,-69477903,121499665,After Earth,Action,-0.5344454076923076
202,2008-11-26,Australia,130000000,49554002,215080810,2008,48,-80445998,85080810,Australia,Drama,-0.6188153692307692
