	Release Date	Movie	Budget	Domestic Gross	Worldwide Gross	Year	Week	Dom_Profits	WW_Profits	movie_name	genre	%ROI	KEY	title - IMDb	runtime - m	genres - IMDb	directors	year - IMDb	cast	KEY - IMDb
706	2012-12-21	The Impossible	40000000	19019882	169590606	2012	51	-20980118	129590606	The Impossible	Drama	-52.450295000000004	The Impossible - 2012	The Impossible	114.0	drama, history, thriller	J.A. Bayona	2012	Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast	The Impossible - 2012
707	2012-03-09	A Thousand Words	40000000	18450127	20790486	2012	10	-21549873	-19209514	A Thousand Words	Comedy	-53.874682500000006	A Thousand Words - 2012	A Thousand Words	91.0	comedy, drama	Brian Robbins	2012	Eddie Murphy, Cliff Curtis, Kerry Washington, Clark Duke	A Thousand Words - 2012
708	2006-10-20	Marie Antoinette	40000000	15962471	60862471	2006	42	-24037529	20862471	Marie Antoinette	Drama	-60.0938225	Marie Antoinette - 2006	Marie Antoinette	123.0	biography, drama, history	Sofia Coppola	2006	Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis	Marie Antoinette - 2006
709	2009-10-23	Amelia	40000000	14279575	19756077	2009	43	-25720425	-20243923	Amelia	Drama	-64.3010625	Amelia - 2009	Amelia	111.0	adventure, biography, drama	Mira Nair	2009	Hilary Swank, Richard Gere, Ewan McGregor, Christopher Eccleston	Amelia - 2009
710	2009-10-23	Cirque du Freak: The Vampire's Assistant	40000000	14046595	39753957	2009	43	-25953405	-246043	Cirque du Freak: The Vampire's Assistant	Action	-64.8835125	Cirque du Freak: The Vampire's Assistant - 2009	Cirque du Freak: The Vampire's Assistant	109.0	action, adventure, fantasy	Paul Weitz	2009	Chris Massoglia, John C. Reilly, Salma Hayek, Josh Hutcherson	Cirque du Freak: The Vampire's Assistant - 2009
711	2008-11-07	Soul Men	40000000	12082391	12345883	2008	45	-27917609	-27654117	Soul Men	Comedy	-69.7940225	Soul Men - 2008	Soul Men	100.0	comedy, drama, music	Malcolm D. Lee	2008	Samuel L. Jackson, Bernie Mac, Sharon Leal, Adam Herschman	Soul Men - 2008
712	2015-03-20	The Gunman	40000000	10664749	18594227	2015	12	-29335251	-21405773	The Gunman	Thriller/Suspense	-73.3381275	The Gunman - 2015	The Gunman	115.0	action, crime, drama	Pierre Morel	2015	Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem	The Gunman - 2015
713	2009-09-25	Pandorum	40000000	10330853	17033431	2009	39	-29669147	-22966569	Pandorum	Horror	-74.1728675	Pandorum - 2009	Pandorum	108.0	action, horror, mystery	Christian Alvart	2009	Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue	Pandorum - 2009
714	2015-07-10	Baahubali: The Beginning	40000000	6738000	26736665	2015	28	-33262000	-13263335	Baahubali: The Beginning	Action	-83.155	Baahubali: The Beginning - 2015	Baahubali: The Beginning	159.0	action, drama	S.S. Rajamouli	2015	Prabhas, Rana Daggubati, Ramya Krishnan, Sathyaraj	Baahubali: The Beginning - 2015
715	2018-03-09	The Hurricane Heist	40000000	6115824	30963684	2018	10	-33884176	-9036316	The Hurricane Heist	Thriller/Suspense	-84.71043999999999	The Hurricane Heist - 2018	The Hurricane Heist	103.0	action, adventure, crime	Rob Cohen	2018	Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson	The Hurricane Heist - 2018
716	2015-11-25	Victor Frankenstein	40000000	5775076	31124367	2015	48	-34224924	-8875633	Victor Frankenstein	Thriller/Suspense	-85.56231	Victor Frankenstein - 2015	Victor Frankenstein	110.0	drama, horror, sci-fi	Paul McGuigan	2015	Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott	Victor Frankenstein - 2015
717	2007-07-20	Sunshine	40000000	3688560	32030610	2007	29	-36311440	-7969390	Sunshine	Thriller/Suspense	-90.77860000000001	Sunshine - 2007	Sunshine	107.0	adventure, sci-fi, thriller	Danny Boyle	2007	Cillian Murphy, Rose Byrne, Chris Evans, Cliff Curtis	Sunshine - 2007
718	2008-12-12	Delgo	40000000	915840	915840	2008	50	-39084160	-39084160	Delgo	Adventure	-97.7104	Delgo - 2008	Delgo	94.0	adventure, animation, comedy	Marc F. Adler, Jason Maurer	2008	Freddie Prinze Jr., Val Kilmer, Anne Bancroft, Chris Kattan	Delgo - 2008
719	2007-09-07	The Hunting Party	40000000	876671	7729552	2007	36	-39123329	-32270448	The Hunting Party	Adventure	-97.8083225	The Hunting Party - 2007	The Hunting Party	101.0	adventure, comedy, drama	Richard Shepard	2007	Richard Gere, Terrence Howard, Jesse Eisenberg, Gordana Vukres	The Hunting Party - 2007
720	2006-10-13	Alex Rider: Operation Stormbreaker	40000000	659210	20722450	2006	41	-39340790	-19277550	Alex Rider: Operation Stormbreaker	Action	-98.351975	Alex Rider: Operation Stormbreaker - 2006	Alex Rider: Operation Stormbreaker	93.0	action, adventure, family	Geoffrey Sax	2006	Alex Pettyfer, Mickey Rourke, Sophie Okonedo, Sarah Bolger	Alex Rider: Operation Stormbreaker - 2006
721	2016-11-11	USS Indianapolis: Men of Courage	40000000	0	1663785	2016	45	-40000000	-38336215	USS Indianapolis: Men of Courage	Drama	-100.0	USS Indianapolis: Men of Courage - 2016	USS Indianapolis: Men of Courage	128.0	action, drama, history	Mario Van Peebles	2016	Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter	USS Indianapolis: Men of Courage - 2016
722	2009-08-14	The Time Traveler's Wife	39000000	63414846	102332135	2009	33	24414846	63332135	The Time Traveler's Wife	Drama	62.602169230769235	The Time Traveler's Wife - 2009	The Time Traveler's Wife	107.0	drama, fantasy, romance	Robert Schwentke	2009	Eric Bana, Rachel McAdams, Ron Livingston, Michelle Nolden	The Time Traveler's Wife - 2009
723	2007-02-02	Because I Said So	39000000	42674040	69538833	2007	5	3674040	30538833	Because I Said So	Comedy	9.420615384615385	Because I Said So - 2007	Because I Said So	102.0	comedy, romance	Michael Lehmann	2007	Diane Keaton, Mandy Moore, Gabriel Macht, Tom Everett Scott	Because I Said So - 2007
724	2012-10-05	Frankenweenie	39000000	35287788	81150788	2012	40	-3712212	42150788	Frankenweenie	Adventure	-9.518492307692307	Frankenweenie - 2012	Frankenweenie	87.0	animation, comedy, family	Tim Burton	2012	Winona Ryder, Catherine O'Hara, Martin Short, Martin Landau	Frankenweenie - 2012
725	2005-09-30	Serenity	39000000	25514517	40319440	2005	39	-13485483	1319440	Serenity	Thriller/Suspense	-34.578161538461536	Serenity - 2005	Serenity	119.0	action, adventure, sci-fi	Joss Whedon	2005	Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk	Serenity - 2005
726	2019-01-25	Serenity	25000000	8547045	12459828	2019	4	-16452955	-12540172	Serenity	Thriller/Suspense	-65.81182	Serenity - 2019	Serenity	106.0	drama, mystery, sci-fi	Steven Knight	2019	Matthew McConaughey, Anne Hathaway, Diane Lane, Jason Clarke	Serenity - 2019
727	2007-09-07	Shoot 'Em Up	39000000	12796824	26796824	2007	36	-26203176	-12203176	Shoot 'Em Up	Action	-67.18763076923076	Shoot 'Em Up - 2007	Shoot 'Em Up	86.0	action, comedy, crime	Michael Davis	2007	Clive Owen, Monica Bellucci, Paul Giamatti, Stephen McHattie	Shoot 'Em Up - 2007
728	2009-07-24	The Ugly Truth	38000000	88915214	205298907	2009	30	50915214	167298907	The Ugly Truth	Romantic Comedy	133.98740526315788	The Ugly Truth - 2009	The Ugly Truth	96.0	comedy, romance	Robert Luketic	2009	Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter	The Ugly Truth - 2009
729	2017-06-02	Captain Underpants: The First Epic Movie	38000000	73921000	126577874	2017	22	35921000	88577874	Captain Underpants: The First Epic Movie	Adventure	94.52894736842106	Captain Underpants: The First Epic Movie - 2017	Captain Underpants: The First Epic Movie	89.0	action, animation, comedy	David Soren	2017	Kevin Hart, Thomas Middleditch, Ed Helms, Nick Kroll	Captain Underpants: The First Epic Movie - 2017
730	2015-04-17	Paul Blart: Mall Cop 2	38000000	71091594	107650646	2015	16	33091594	69650646	Paul Blart: Mall Cop 2	Adventure	87.08314210526315	Paul Blart: Mall Cop 2 - 2015	Paul Blart: Mall Cop 2	94.0	action, comedy, crime	Andy Fickman	2015	Kevin James, Raini Rodriguez, Eduardo Verástegui, Daniella Alonso	Paul Blart: Mall Cop 2 - 2015
731	2016-12-23	Why Him?	38000000	60323786	117425156	2016	51	22323786	79425156	Why Him?	Comedy	58.746805263157896	Why Him? - 2016	Why Him?	111.0	comedy	John Hamburg	2016	Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer	Why Him? - 2016
732	2011-04-22	Water for Elephants	38000000	58709717	116809717	2011	16	20709717	78809717	Water for Elephants	Drama	54.4992552631579	Water for Elephants - 2011	Water for Elephants	120.0	drama, romance	Francis Lawrence	2011	Robert Pattinson, Reese Witherspoon, Christoph Waltz, Paul Schneider	Water for Elephants - 2011
733	2010-10-08	Life as We Know It	38000000	53374681	105887837	2010	40	15374681	67887837	Life as We Know It	Romantic Comedy	40.45968684210526	Life as We Know It - 2010	Life as We Know It	114.0	comedy, drama, romance	Greg Berlanti	2010	Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett	Life as We Know It - 2010
734	2013-09-06	Riddick	38000000	42025135	94763758	2013	36	4025135	56763758	Riddick	Action	10.592460526315788	Riddick - 2013	Riddick	119.0	action, adventure, sci-fi	David Twohy	2013	Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà	Riddick - 2013
735	2016-01-22	The 5th Wave	38000000	34912982	111336398	2016	3	-3087018	73336398	The 5th Wave	Action	-8.123731578947368	The 5th Wave - 2016	The 5th Wave	112.0	action, adventure, drama	J Blakeson	2016	Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders	The 5th Wave - 2016
736	2009-02-06	Push	38000000	31811527	49678401	2009	6	-6188473	11678401	Push	Thriller/Suspense	-16.285455263157893	Push - 2009	Push	111.0	action, adventure, crime	Paul McGuigan	2009	Camilla Belle, Dakota Fanning, Chris Evans, Colin Ford	Push - 2009
737	2013-09-20	Rush	38000000	26947624	98230839	2013	38	-11052376	60230839	Rush	Drama	-29.0852	Rush - 2013	Rush	123.0	action, biography, drama	Ron Howard	2013	Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara	Rush - 2013
738	2017-10-20	Only the Brave	38000000	18340051	24555177	2017	42	-19659949	-13444823	Only the Brave	Drama	-51.736707894736846	Only the Brave - 2017	Only the Brave	134.0	action, biography, drama	Joseph Kosinski	2017	Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly	Only the Brave - 2017
739	2011-10-14	The Thing	38000000	16999934	27573078	2011	41	-21000066	-10426922	The Thing	Horror	-55.26333157894737	The Thing - 2011	The Thing	103.0	horror, mystery, sci-fi	Matthijs van Heijningen Jr.	2011	Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen	The Thing - 2011
740	2008-10-10	City of Ember	38000000	7873007	17831558	2008	41	-30126993	-20168442	City of Ember	Adventure	-79.28156052631579	City of Ember - 2008	City of Ember	90.0	adventure, family, fantasy	Gil Kenan	2008	Saoirse Ronan, Toby Jones, Bill Murray, David Ryall	City of Ember - 2008
741	2018-09-21	The Sisters Brothers	38000000	3143056	13133073	2018	38	-34856944	-24866927	The Sisters Brothers	Western	-91.72879999999999	The Sisters Brothers - 2018	The Sisters Brothers	122.0	adventure, comedy, crime	Jacques Audiard	2018	John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed	The Sisters Brothers - 2018
742	2012-05-18	What to Expect When You're Expecting	37500000	41152203	88473016	2012	20	3652203	50973016	What to Expect When You're Expecting	Romantic Comedy	9.739208000000001	What to Expect When You're Expecting - 2012	What to Expect When You're Expecting	110.0	comedy, drama, romance	Kirk Jones	2012	Cameron Diaz, Matthew Morrison, J. Todd Smith, Dennis Quaid	What to Expect When You're Expecting - 2012
743	2012-09-14	The Master	37500000	16247159	50647416	2012	37	-21252841	13147416	The Master	Drama	-56.674242666666665	The Master - 2012	The Master	138.0	drama	Paul Thomas Anderson	2012	Philip Seymour Hoffman, Joaquin Phoenix, Amy Adams, Jesse Plemons	The Master - 2012
744	2008-10-10	The Express	37500000	9793406	9813309	2008	41	-27706594	-27686691	The Express	Drama	-73.88425066666666	The Express - 2008	The Express	130.0	biography, drama, sport	Gary Fleder	2008	Rob Brown, Dennis Quaid, Clancy Brown, Darrin Dewitt Henson	The Express - 2008
745	2008-11-21	Twilight	37000000	192769854	402280159	2008	47	155769854	365280159	Twilight	Drama	420.9996054054053	Twilight - 2008	Twilight	122.0	drama, fantasy, romance	Catherine Hardwicke	2008	Kristen Stewart, Robert Pattinson, Billy Burke, Sarah Clarke	Twilight - 2008
746	2013-08-07	We're the Millers	37000000	150394119	267816276	2013	32	113394119	230816276	We're the Millers	Comedy	306.4705918918919	We're the Millers - 2013	We're the Millers	110.0	comedy, crime	Rawson Marshall Thurber	2013	Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms	We're the Millers - 2013
747	2015-11-25	Creed	37000000	109767581	173567581	2015	48	72767581	136567581	Creed	Drama	196.66913783783784	Creed - 2015	Creed	133.0	drama, sport	Ryan Coogler	2015	Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad	Creed - 2015
748	2010-09-17	The Town	37000000	92186262	152566881	2010	37	55186262	115566881	The Town	Drama	149.15205945945945	The Town - 2010	The Town	125.0	crime, drama, thriller	Ben Affleck	2010	Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner	The Town - 2010
749	2011-09-23	Dolphin Tale	37000000	72286779	96068724	2011	38	35286779	59068724	Dolphin Tale	Drama	95.36967297297296	Dolphin Tale - 2011	Dolphin Tale	113.0	drama, family	Charles Martin Smith	2011	Morgan Freeman, Ashley Judd, Harry Connick Jr., Nathan Gamble	Dolphin Tale - 2011
750	2018-02-23	Game Night	37000000	69179066	117378084	2018	8	32179066	80378084	Game Night	Comedy	86.97044864864864	Game Night - 2018	Game Night	100.0	action, comedy, crime	John Francis Daley, Jonathan Goldstein	2018	Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan	Game Night - 2018
751	2008-09-12	Burn After Reading	37000000	60355347	168167798	2008	37	23355347	131167798	Burn After Reading	Black Comedy	63.12255945945946	Burn After Reading - 2008	Burn After Reading	96.0	comedy, crime, drama	Ethan Coen, Joel Coen	2008	Brad Pitt, Frances McDormand, George Clooney, John Malkovich	Burn After Reading - 2008
752	2008-04-04	Nim's Island	37000000	48006762	101857425	2008	14	11006762	64857425	Nim's Island	Adventure	29.748005405405404	Nim's Island - 2008	Nim's Island	96.0	adventure, family, fantasy	Jennifer Flackett, Mark Levin	2008	Jodie Foster, Gerard Butler, Abigail Breslin, Michael Carman	Nim's Island - 2008
